id	issue_id	owner	due	action	status	proof_paths
ACT-001	ISS-001	형아	2026-01-13	manager.py에 done_missions 카운트 추가 및 done != expected시 exitcode=1 설정	done	C:\g7core\g7_v1\main\manager.py
ACT-002	ISS-001	형아	2026-01-13	evidence_writer.py finalize() 시그니처 변경: expected_missions, done_missions, api_error_count, reason_code 필수	done	C:\g7core\g7_v1\engine\evidence_writer.py
ACT-003	ISS-001	형아	2026-01-13	check_run_pack.py 검문 도구 배치	done	C:\g7core\g7_v1\tools\check_run_pack.py
ACT-004	ISS-002	형아	2026-01-16	devlog_writer.py에 migrate_node() 추가: 노드별 필수 필드 자동 보정	done	C:\g7core\g7_v1\tools\devlog_writer.py
ACT-005	ISS-002	형아	2026-01-16	모든 dict 접근 .get() 기반 방어 코드로 변경	done	C:\g7core\g7_v1\tools\devlog_writer.py
ACT-006	ISS-003	형아	2026-01-13	manager.py finalize() 직후 devlog append 용접	done	C:\g7core\g7_v1\main\manager.py
ACT-007	ISS-004	형아	2026-01-08	work_orders 경로 및 오더 생성기 출력 위치 확인/통일	doing	
ACT-008	ISS-005	gemini	2026-01-20	오더 생성기 task_type 목록과 실행/로거 인식 목록 동기화	todo	
ACT-009	ISS-006	형아	2026-01-07	& python.exe 호출 연산자 사용으로 별칭 충돌 우회	done	C:\g7core\g7_v1\runs\_main_stdout_stderr.txt
ACT-010	ISS-007	형아	2026-01-06	stdout 로거/파일 핸들 완전 close 이후에만 manifest 생성하도록 수정	doing	
ACT-011	ISS-008	gemini	2026-01-20	REAL120용 API 재시도/슬로틀 정책 강화 (지수 백오프)	todo	
ACT-012	ISS-008	gemini	2026-01-20	대량 실패 시 자동 분할 실행 (120 → 30/30/30/30)	todo	
ACT-013	ISS-009	형아	2026-01-10	budget_guard.log 자동 생성 + 매 번들 종료마다 갱신 로직 추가	doing	
ACT-014	ISS-010	형아	2026-01-12	evidence_writer 강화본 덮어쓰기 + Select-String으로 시그니처 확인	done	C:\g7core\g7_v1\engine\evidence_writer.py
ACT-015	ISS-011	gemini	2026-01-01	케이스북에 poison_bucket/poison_id 기록 누락 수정	done	C:\g6core\g6_v24\tests\redteam_harness_v12.py
