row_id	lane	kind	task_signature	target_scope	action
1	1	BUILD	SIG_2034024844	/data/task_1.txt	CREATE
2	1	BUILD	SIG_321963875	/data/task_2.txt	CREATE
3	1	BUILD	SIG_1571033558	/data/task_3.txt	CREATE
4	1	BUILD	SIG_2144593919	/data/task_4.txt	CREATE
5	1	BUILD	SIG_1853858355	/data/task_5.txt	CREATE
6	1	BUILD	SIG_544181028	/data/task_6.txt	CREATE
7	1	BUILD	SIG_136857627	/data/task_7.txt	CREATE
8	1	BUILD	SIG_740677834	/data/task_8.txt	CREATE
9	1	BUILD	SIG_126642223	/data/task_9.txt	CREATE
10	1	BUILD	SIG_872016261	/data/task_10.txt	CREATE
11	1	BUILD	SIG_1214311972	/data/task_11.txt	CREATE
12	1	BUILD	SIG_319482813	/data/task_12.txt	CREATE
13	1	BUILD	SIG_612126345	/data/task_13.txt	CREATE
14	1	BUILD	SIG_1180121071	/data/task_14.txt	CREATE
15	1	BUILD	SIG_1906276864	/data/task_15.txt	CREATE
16	2	BUILD	SIG_911753153	/data/task_16.txt	CREATE
17	2	BUILD	SIG_1458638295	/data/task_17.txt	CREATE
18	2	BUILD	SIG_1576901820	/data/task_18.txt	CREATE
19	2	BUILD	SIG_1160563866	/data/task_19.txt	CREATE
20	2	BUILD	SIG_1490799929	/data/task_20.txt	CREATE
21	2	BUILD	SIG_82978454	/data/task_21.txt	CREATE
22	2	BUILD	SIG_521103415	/data/task_22.txt	CREATE
23	2	BUILD	SIG_2133552300	/data/task_23.txt	CREATE
24	2	BUILD	SIG_1328337656	/data/task_24.txt	CREATE
25	2	BUILD	SIG_1961642420	/data/task_25.txt	CREATE
26	2	BUILD	SIG_463475382	/data/task_26.txt	CREATE
27	2	BUILD	SIG_2133077360	/data/task_27.txt	CREATE
28	2	BUILD	SIG_121110996	/data/task_28.txt	CREATE
29	2	BUILD	SIG_1440649969	/data/task_29.txt	CREATE
30	2	BUILD	SIG_63287428	/data/task_30.txt	CREATE
31	3	BUILD	SIG_1898926700	/data/task_31.txt	CREATE
